risk,path,issues
high,0xSojalSec-factorio-learning-environment\fle\env\namespace.py,forbidden_call:compile;forbidden_call:eval;forbidden_call:eval;forbidden_call:compile;forbidden_call:eval;forbidden_call:eval;forbidden_call:compile;forbidden_call:compile;forbidden_call:compile;forbidden_call:exec;forbidden_call:compile;forbidden_call:exec;forbidden_call:compile;forbidden_call:exec;forbidden_call:compile;forbidden_call:exec;forbidden_call:compile;forbidden_call:exec;forbidden_call:compile;forbidden_call:eval;forbidden_call:eval;forbidden_call:eval;forbidden_call:compile;forbidden_call:eval;forbidden_call:eval;forbidden_call:eval;forbidden_call:compile;forbidden_call:compile;forbidden_call:eval;forbidden_call:compile;forbidden_call:compile;forbidden_call:compile;forbidden_call:eval;forbidden_call:compile;forbidden_call:compile;forbidden_call:exec;forbidden_call:compile;forbidden_call:exec;forbidden_call:compile;forbidden_call:exec;forbidden_call:compile;forbidden_call:exec;forbidden_call:eval;forbidden_call:compile
high,0xSojalSec-factorio-learning-environment\fle\agents\data\sprites\basis_image_resolver.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\fle\agents\data\sprites\extractors\entities.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\fle\cluster\remote\factorio_server_login.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\fle\eval\analysis\run_to_mp4.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-factorio-learning-environment\fle\eval\algorithms\mcts\parallel_planning_mcts.py,forbidden_call:compile;forbidden_call:compile
high,0xSojalSec-factorio-learning-environment\fle\eval\algorithms\mcts\planning_mcts.py,forbidden_attr_call:call
high,0xSojalSec-factorio-learning-environment\fle\eval\algorithms\mcts\plan_generator_1.py,forbidden_attr_call:call
high,0xSojalSec-factorio-learning-environment\fle\eval\algorithms\mcts\supervised_task_executor_abc.py,forbidden_call:compile;forbidden_call:compile
high,0xSojalSec-gpt-wpre\extras\debug_summaries.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
high,0xSojalSec-GPT_Vuln-analyzer\components\assets.py,forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-GPT_Vuln-analyzer\components\menus.py,forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-GPT_Vuln-analyzer\package\GVA\assets.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-GPT_Vuln-analyzer\package\GVA\menus.py,forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-GPT_Vuln-analyzer\package\GVA\packet_analysis.py,forbidden_importfrom:subprocess;forbidden_attr_call:system
high,0xSojalSec-Graph-R1\agent\tool\tools\calculator_tool.py,forbidden_call:eval
high,0xSojalSec-Graph-R1\verl\utils\hdfs_io.py,forbidden_attr_call:system
high,0xSojalSec-Graph-R1\verl\utils\reward_score\prime_code\testing_util.py,forbidden_import:subprocess
high,0xSojalSec-Graph-R1\verl\utils\reward_score\prime_math\grader.py,forbidden_call:eval;forbidden_call:eval;forbidden_call:eval
high,0xSojalSec-GTFONow\gtfonow\gtfonow.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:call;forbidden_module_call:subprocess.call;forbidden_module_call:subprocess.run;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:system
high,0xSojalSec-guardian-cli\tools\base_tool.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\http_handler.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\portfwd.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
high,0xSojalSec-GunnerC2\core\shell.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\tcp_listener.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\utils.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\gui\file_browser.py,forbidden_attr_call:system
high,0xSojalSec-GunnerC2\core\gunnershell\gunnershell.py,forbidden_attr_call:system
high,0xSojalSec-GunnerC2\core\gunnershell\lateralmovement_master.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\network_master.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\system_master.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\userinterface_master.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\listeners\https_listener.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\listeners\tcp_listener.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\malleable_c2\malleable_c2.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\filesystem\edit.py,forbidden_import:subprocess;forbidden_attr_call:call;forbidden_module_call:subprocess.call
high,0xSojalSec-GunnerC2\core\gunnershell\commands\lateral_movement\netexec_ldap.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\lateral_movement\netexec_smb.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\lateral_movement\netexec_winrm.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\lateral_movement\rpcexec.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\lateral_movement\winrm.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\lateral_movement\wmiexec.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\network\portscan.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\network\socks_proxy.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\userinterface\screenshot.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\filesystem\edit.py,forbidden_import:subprocess;forbidden_attr_call:call;forbidden_module_call:subprocess.call
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\lateral_movement\netexec_ldap.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\lateral_movement\netexec_smb.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\lateral_movement\netexec_winrm.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\lateral_movement\rpcexec.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\lateral_movement\winrm.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\lateral_movement\wmiexec.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\network\portscan.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\network\socks_proxy.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\gunnershell\commands\windows\userinterface\screenshot.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\modules\windows\x64\post_exploitation\Credentials\hashdump.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\common\malleable_c2.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\payload_generator\common\payload_utils.py,forbidden_import:subprocess
high,0xSojalSec-GunnerC2\core\payload_generator\windows\http\exe\build_make.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\http\exe\exe_reverse_http.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\https\exe\build_make.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\https\exe\exe_reverse_https.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\https\gunnerplant\build_make.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\https\gunnerplant\gunnerplant_reverse_https.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\tcp\exe\build_make.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\tcp\exe\exe_reverse_tcp.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\tls\exe\build_make.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-GunnerC2\core\payload_generator\windows\tls\exe\exe_reverse_tls.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-h2o-llmstudio\llm_studio\train_wave.py,forbidden_import:subprocess;forbidden_module_call:subprocess.check_output
high,0xSojalSec-h2o-llmstudio\llm_studio\app_utils\utils.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_module_call:subprocess.run
high,0xSojalSec-h2o-llmstudio\llm_studio\app_utils\wave_utils.py,forbidden_import:subprocess;forbidden_module_call:subprocess.getoutput
high,0xSojalSec-Havoc\Teamserver\pkg\profile\yaotl\guide\conf.py,forbidden_import:subprocess;forbidden_module_call:subprocess.check_output
high,0xSojalSec-hawk-eye\hawk_scanner\main.py,forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-hawk-eye\hawk_scanner\commands\firebase.py,forbidden_attr_call:system
high,0xSojalSec-hawk-eye\hawk_scanner\commands\gcs.py,forbidden_attr_call:system
high,0xSojalSec-hawk-eye\hawk_scanner\commands\gdrive.py,forbidden_attr_call:system;forbidden_attr_call:system
high,0xSojalSec-hawk-eye\hawk_scanner\commands\s3.py,forbidden_attr_call:system
high,0xSojalSec-hawk-eye\hawk_scanner\internals\system.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_module_call:subprocess.check_output
high,0xSojalSec-Hawker\settings\ready.py,forbidden_attr_call:system
high,0xSojalSec-HExHTTP\static\vuln_notify.py,forbidden_attr_call:system
high,0xSojalSec-HoloCine\diffsynth\models\kolors_text_encoder.py,forbidden_call:eval
high,0xSojalSec-HoloCine\diffsynth\prompters\omost.py,forbidden_call:exec
high,0xSojalSec-HomeDockOS\pymodules\hd_DockerAPIUpdateContainer.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-HomeDockOS\pymodules\hd_FunctionsGlobals.py,forbidden_attr_call:system
high,0xSojalSec-HomeDockOS\pymodules\hd_FunctionsMain.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run;forbidden_module_call:subprocess.run
high,0xSojalSec-HomeDockOS\pymodules\hd_UIAppStoreInstallApp.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-HomeDockOS\pymodules\hd_UIControlHubRecreateContainer.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-HomeDockOS\pymodules\hd_UpdateDeps.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-how-to-bypass-aslr-on-linux-x86_64\resources\dist-guess-god\server.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
high,0xSojalSec-http-garden\images\daedalus\server.py,forbidden_import:subprocess;forbidden_module_call:subprocess.run
high,0xSojalSec-hub\models\yolo.py,forbidden_call:eval;forbidden_call:eval
high,0xSojalSec-hub\pages\5_Settings.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
high,0xSojalSec-hub\utils\datasets.py,forbidden_call:eval;forbidden_call:eval
high,0xSojalSec-hub\utils\general.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.check_output;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output;forbidden_module_call:subprocess.check_output
high,0xSojalSec-hub\utils\google_utils.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_call:eval;forbidden_attr_call:system;forbidden_module_call:subprocess.check_output;forbidden_attr_call:system;forbidden_attr_call:system;forbidden_module_call:subprocess.check_output
high,0xSojalSec-hub\utils\plots.py,forbidden_attr_call:system
high,0xSojalSec-hub\utils\torch_utils.py,forbidden_import:subprocess;forbidden_attr_call:system;forbidden_module_call:subprocess.check_output
high,0xSojalSec-hub\utils\aws\resume.py,forbidden_attr_call:system
high,0xSojalSec-HuMo\humo\utils\audio_processor_whisper.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
high,0xSojalSec-HunyuanVideo-Avatar\hymm_gradio\tool_for_end2end.py,forbidden_attr_call:system
high,0xSojalSec-HunyuanVideo-Avatar\hymm_sp\sample_batch.py,forbidden_attr_call:system
high,0xSojalSec-HunyuanVideo-Avatar\hymm_sp\sample_gpu_poor.py,forbidden_attr_call:system
high,0xSojalSec-img2dataset\tests\conftest.py,forbidden_import:subprocess;forbidden_attr_call:Popen;forbidden_module_call:subprocess.Popen
